id,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6
37,Zorina,Joincey,New York,Cholecap,9,9,10,13,16,15,7,173,143,96,60,75
38,Nilson,Charlson,Tennessee,Cholecap,4,17,10,6,7,12,43,76,109,18,10,12
39,Allina,Oldfield,Texas,Cholecap,18,11,7,19,10,18,169,143,64,44,54,108
40,Zachary,Letteresse,Arizona,Cholecap,15,10,15,15,4,18,94,25,103,57,194,193
41,Maris,Le Barre,New Jersey,Cholecap,11,6,0,16,12,11,169,87,99,180,128,181
42,Ludovico,Kilroy,South Dakota,Cholecap,20,5,5,3,20,9,12,32,27,28,146,107
43,Tedman,Weldon,Missouri,Cholecap,20,15,17,20,8,1,24,102,12,135,112,41
44,Asia,Danilyak,Pennsylvania,Cholecap,7,16,16,3,9,4,79,58,157,40,102,59
45,Corette,Buchanan,Missouri,Cholecap,4,4,13,0,8,15,39,51,47,79,72,78
46,Chico,Ritmeier,Georgia,Cholecap,7,4,5,6,15,6,165,186,109,123,197,32
47,Lynde,O'Cullinane,Texas,Cholecap,6,13,12,3,14,1,109,182,89,144,94,133
48,Vivia,Redborn,District of Columbia,Cholecap,6,4,3,2,6,5,84,119,44,113,77,14
49,Gene,Pollard,Indiana,Cholecap,17,14,18,14,1,20,145,185,167,6,80,27
50,Monti,Trett,Alabama,Cholecap,6,19,1,15,19,20,142,135,167,182,26,108
51,Andie,Gymlett,Massachusetts,Cholecap,18,5,4,3,15,20,83,16,130,151,75,28
52,Maia,Spriggin,California,Cholecap,2,5,6,7,17,5,157,67,60,38,70,138
53,Aleece,Holburn,District of Columbia,Cholecap,14,6,4,16,3,1,91,141,109,156,41,33
54,Aila,Tonna,Alabama,Cholecap,6,16,0,16,4,3,14,16,116,164,31,139
55,Vivianna,Mordin,Missouri,Cholecap,16,17,4,18,0,13,48,93,105,18,54,140
56,Carrie,Astbury,Massachusetts,Cholecap,9,17,2,4,8,17,5,44,96,74,184,34
57,Mommy,Grigoliis,California,Cholecap,18,3,1,10,17,2,51,149,41,72,185,5
58,Minor,Tattershall,Texas,Cholecap,9,2,9,17,6,10,79,37,112,154,99,71
59,Ade,Ballay,Massachusetts,Cholecap,19,13,2,7,7,4,154,7,135,52,183,130
60,Shannah,Giovannelli,Connecticut,Cholecap,11,12,15,5,5,12,20,59,175,52,107,119
61,Tirrell,Fritchley,Arizona,Cholecap,10,4,10,6,15,15,60,90,59,32,71,133
62,Nancee,Cane,Virginia,Cholecap,7,15,6,8,14,11,143,1,113,34,7,92
63,Elizabet,Dunster,Louisiana,Cholecap,14,18,2,4,6,0,157,88,21,93,24,72
64,Susannah,Nares,Georgia,Cholecap,15,14,3,15,12,20,184,94,19,86,12,122
65,Veradis,Letteresse,Utah,Cholecap,5,1,20,14,11,9,7,139,67,30,170,134
66,Sonnie,Coots,Nevada,Cholecap,16,9,1,9,16,7,157,42,54,170,94,111
67,Corabella,De Souza,California,Cholecap,12,10,9,17,20,7,91,46,145,182,76,82
68,Kristin,Camplen,Utah,Cholecap,6,13,16,13,3,8,109,81,91,11,154,163
69,Lucius,Lorenzetto,Illinois,Cholecap,14,9,4,9,2,8,56,14,143,178,165,152
70,Ernie,Jakaway,California,Cholecap,5,3,10,1,19,6,109,182,98,108,149,66
71,Rosy,Bubbings,Texas,Cholecap,8,11,9,9,20,1,155,65,51,81,137,48
72,Kelcey,McGrory,California,Cholecap,12,19,9,8,18,2,119,178,21,80,46,79
73,Lexine,Durden,California,Cholecap,20,19,14,11,20,15,134,85,112,133,16,106
74,Toiboid,Ellett,New York,Cholecap,13,6,7,5,3,15,79,166,128,40,15,57
75,Tris,Earl,Montana,Cholecap,10,7,15,7,16,5,103,179,114,151,168,146
76,Eldin,Mossbee,Nevada,Cholecap,15,13,6,0,4,8,93,171,35,108,68,166
77,Daisy,Luno,Pennsylvania,Cholecap,5,3,3,16,9,16,39,187,4,180,83,106
78,Silvie,Gurdon,Colorado,Cholecap,7,11,9,20,20,17,51,191,30,37,29,31
79,Toma,Dewhurst,Texas,Cholecap,5,14,1,16,8,8,74,199,184,32,161,13
80,Tabatha,Manton,Hawaii,Cholecap,3,6,14,3,15,12,41,182,61,77,180,67
81,Pearle,Peatheyjohns,Ohio,Cholecap,16,0,0,13,2,6,125,36,135,99,35,107
82,Cati,de Almeida,Oklahoma,Cholecap,7,20,20,5,6,2,121,78,8,69,39,200
83,Jourdain,Chalke,Florida,Cholecap,12,11,7,12,17,15,63,94,12,179,96,73
84,Cornelle,Venney,New York,Cholecap,12,5,4,7,12,9,72,129,102,199,172,112
85,Midge,Balden,Iowa,Cholecap,16,16,19,12,11,13,194,156,135,136,159,119
86,Jacquenette,Konzelmann,Colorado,Cholecap,19,5,2,4,3,6,184,147,161,123,17,121
87,Glenda,Lubeck,Texas,Cholecap,8,10,1,9,15,7,192,163,197,51,21,20
88,Salvatore,Hyde-Chambers,Massachusetts,Cholecap,12,2,17,7,2,6,25,35,63,196,31,101
89,Barnebas,Bladesmith,Texas,Cholecap,6,1,12,2,0,18,84,156,39,85,114,21
90,Ludvig,Gotliffe,Michigan,Cholecap,0,20,16,3,17,4,1,43,126,178,146,11
91,Otis,McBayne,Florida,Cholecap,2,16,17,0,1,7,141,166,5,194,129,128
92,Larissa,Gjerde,Texas,Cholecap,14,0,2,18,2,14,110,99,28,45,84,120
93,Christian,Sturgess,Texas,Cholecap,10,18,6,19,15,17,113,106,161,60,189,177
94,Martita,Bleackley,Wisconsin,Cholecap,9,16,2,6,20,3,7,156,171,13,98,17
95,Haleigh,Cuncliffe,Virginia,Cholecap,17,15,13,4,8,11,84,77,148,83,61,103
96,Kandace,Hartwell,Massachusetts,Cholecap,11,18,20,7,15,18,198,159,3,33,128,149
97,Ebba,Fagge,Mississippi,Cholecap,3,8,9,12,3,10,115,181,138,91,141,179
98,Codee,Sanpher,Colorado,Cholecap,2,12,9,12,17,15,95,119,76,3,62,42
99,Daveta,Jurgen,District of Columbia,Cholecap,10,14,12,0,9,17,128,70,181,43,7,163
100,Haleigh,Railton,Alaska,Cholecap,9,8,7,4,4,19,165,156,108,30,90,66
101,Roxine,Zettler,Arizona,Cholecap,2,12,18,11,2,0,136,91,94,137,119,52
102,Morena,Tredgold,Illinois,Cholecap,6,19,5,3,0,12,181,130,192,79,160,105
103,Davy,Gameson,Connecticut,Cholecap,13,5,20,13,16,12,31,184,43,103,181,157
104,Albertina,Dudek,District of Columbia,Cholecap,14,12,18,2,18,3,26,101,199,132,26,74
105,Halette,Muller,Massachusetts,Cholecap,18,2,17,12,2,6,37,106,125,147,3,69
106,Giana,Dykas,Ohio,Cholecap,6,19,4,6,19,14,39,27,88,48,23,94
107,Bryan,O'Donohue,California,Cholecap,11,18,10,2,2,10,40,60,17,112,180,48
108,Allistir,Cutting,Tennessee,Cholecap,19,3,1,14,13,0,172,75,185,161,165,183
109,Reginald,Coutts,California,Cholecap,20,7,10,14,19,1,66,5,98,80,96,59
110,Hattie,Flury,Michigan,Cholecap,7,2,17,7,18,4,152,151,12,101,25,176
111,Elias,Clericoates,Ohio,Cholecap,17,4,3,6,18,0,166,38,137,179,194,102
112,Mariellen,Derisly,Texas,Cholecap,10,6,10,7,14,13,64,24,92,53,196,145
113,Aila,Amyes,Washington,Cholecap,14,19,5,20,7,16,183,77,68,124,49,117
114,Vladimir,Zelland,Washington,Cholecap,4,6,2,1,0,14,146,115,57,172,187,64
115,Rebekkah,Klimus,Texas,Cholecap,4,2,14,18,17,1,39,37,114,63,80,98
116,Petey,Jindrich,Florida,Cholecap,10,19,7,4,20,16,199,89,91,194,147,136
117,Desiri,Warrilow,Texas,Cholecap,18,20,17,18,14,17,150,87,30,152,76,152
118,Kendre,De Bruin,Wisconsin,Cholecap,6,14,12,7,3,5,155,98,120,110,18,150
119,Creighton,Castellone,Florida,Cholecap,2,10,12,2,17,1,122,165,149,50,37,194
120,Sonya,Gownge,Texas,Cholecap,15,15,14,6,5,17,187,180,10,158,133,87
121,Donn,Riddall,New York,Cholecap,20,18,3,11,11,13,124,10,183,46,193,5
122,Idalina,Hlavecek,Washington,Cholecap,15,0,8,14,4,6,193,64,22,28,0,140
123,Brewster,Constance,North Carolina,Cholecap,13,19,20,12,13,10,32,159,104,50,13,101
124,Hazel,Hedderly,Florida,Cholecap,4,17,13,6,13,4,46,85,163,11,170,199
125,Bidget,Ramel,West Virginia,Cholecap,10,9,0,3,3,7,186,184,126,57,190,11
126,Franny,Frazier,Missouri,Cholecap,13,20,8,5,8,20,62,145,79,159,178,87
127,Lizette,Quernel,District of Columbia,Cholecap,12,9,14,18,4,2,38,93,116,157,192,112
128,Alina,Pogg,Virginia,Cholecap,4,19,7,9,15,19,138,81,39,116,87,193
129,Austin,Foulds,California,Cholecap,18,6,9,12,5,5,35,170,100,33,85,32
130,Norry,Forsyde,North Carolina,Cholecap,20,11,6,15,0,10,68,45,114,13,191,132
131,Karyn,Bolsover,Texas,Cholecap,3,15,14,12,11,11,173,44,162,59,91,16
132,Maynard,Caplen,Texas,Cholecap,15,9,16,13,15,5,186,168,58,138,193,6
133,Chiquia,Warham,Illinois,Cholecap,17,12,15,15,10,18,130,81,118,161,141,1
134,Selena,Girauld,Massachusetts,Cholecap,1,15,18,9,3,11,38,86,186,193,184,40
135,Melina,Boggis,Missouri,Cholecap,16,14,19,15,16,12,22,34,28,189,11,139
136,Karrah,Bradane,Alabama,Cholecap,6,8,0,7,1,18,29,65,195,116,6,74
137,Eleanor,Teresia,Massachusetts,Cholecap,19,5,17,14,13,13,145,92,194,125,83,190
138,Madge,Cregan,Colorado,Cholecap,5,4,9,4,20,6,83,37,50,119,143,189
139,Walden,Palliser,Alaska,Cholecap,0,20,9,0,3,2,111,116,76,164,92,3
140,Leonore,Winckworth,Florida,Cholecap,10,9,6,14,1,0,5,81,46,121,45,69
141,Monika,Pleat,South Carolina,Cholecap,5,16,10,15,5,0,16,152,4,164,76,109
142,Lucina,Wenden,Iowa,Cholecap,11,19,4,1,0,16,83,157,117,93,126,115
143,Carlie,McWhirter,North Carolina,Cholecap,0,1,0,9,11,12,78,49,87,79,130,10
144,Vicki,Bartell,Florida,Cholecap,16,12,13,6,10,11,16,134,94,78,16,70
145,Marcos,Felix,Georgia,Cholecap,2,0,16,17,3,15,104,6,161,116,6,187
146,Tamiko,O'Hagerty,Louisiana,Cholecap,13,8,16,2,5,19,0,110,144,69,171,167
147,Brand,Noden,Indiana,Cholecap,17,3,16,6,15,2,116,85,57,84,200,16
148,Wenonah,Campsall,Texas,Cholecap,20,16,15,16,2,8,96,89,24,73,9,191
149,Shell,August,Pennsylvania,Cholecap,14,12,2,17,7,7,31,36,40,193,57,111
150,Kelcey,Sackey,Florida,Cholecap,2,20,13,13,6,17,137,73,40,88,186,52
151,Salomon,De Witt,Maryland,Cholecap,13,2,12,3,0,15,126,84,16,135,45,39
152,Johna,Esseby,Georgia,Cholecap,9,8,14,2,14,5,80,117,102,103,31,93
153,Franzen,Kubasiewicz,Wisconsin,Cholecap,9,2,3,14,13,11,86,92,144,153,128,116
154,Elspeth,Tour,Tennessee,Cholecap,3,18,19,12,10,5,192,62,66,171,147,8
155,Virginie,Sager,California,Cholecap,16,5,13,1,11,4,171,176,178,155,81,146
156,Emalia,Frosdick,Illinois,Cholecap,7,19,19,0,13,7,57,123,105,66,107,195
157,Jeremias,Stotherfield,Florida,Cholecap,0,3,3,7,14,2,15,118,10,113,112,136
158,Freeland,Jenkins,Texas,Cholecap,8,3,9,14,5,7,55,180,30,56,30,173
159,Blakelee,Annandale,Ohio,Cholecap,7,16,14,5,4,17,171,10,16,156,81,161
160,Sherwood,Antliff,Oregon,Cholecap,16,19,10,4,19,0,71,96,167,26,131,61
161,Sile,Nanelli,Alaska,Cholecap,7,1,17,6,20,3,190,36,157,186,145,33
162,Zilvia,O'Teague,California,Cholecap,17,20,19,20,7,19,191,192,70,5,12,15
163,Gipsy,Petry,Georgia,Cholecap,0,14,6,1,3,2,170,82,41,159,174,117
164,Budd,Bozworth,California,Cholecap,0,15,0,14,12,16,78,194,25,185,96,97
165,Lettie,Vedekhin,Wisconsin,Cholecap,1,14,3,3,3,7,147,79,184,169,144,132
166,Loise,Dressell,Hawaii,Cholecap,2,11,1,8,7,12,29,197,64,62,15,162
167,Marketa,Keddle,Wisconsin,Cholecap,7,13,14,13,17,17,181,171,80,165,175,72
168,Fonsie,Sollon,Colorado,Cholecap,9,9,14,16,15,5,199,171,173,27,81,82
169,Carolee,Speke,California,Cholecap,0,17,11,17,10,13,113,102,183,85,178,54
170,Cynde,Cudihy,Pennsylvania,Cholecap,16,3,20,12,8,5,188,38,86,161,55,142
171,Judie,Macenzy,Florida,Cholecap,16,6,9,13,20,16,142,25,64,53,134,191
172,Cornela,Schoenfisch,Massachusetts,Cholecap,11,4,6,5,12,17,15,63,195,107,63,94
173,Dotty,Seakings,Pennsylvania,Cholecap,8,13,11,10,14,16,40,168,127,146,123,21
174,Cathrine,Tomaschke,Iowa,Cholecap,20,19,7,7,11,16,69,91,114,154,174,66
175,Marget,Bullar,Georgia,Cholecap,7,13,10,15,19,12,2,146,125,89,153,69
176,Luis,Carlo,Michigan,Cholecap,14,12,13,18,11,4,59,184,200,19,61,111
177,Genevra,Gilford,District of Columbia,Cholecap,20,16,12,0,15,2,5,95,47,120,56,142
178,Park,Seppey,New York,Cholecap,8,15,3,0,16,3,82,63,65,42,91,186
179,Raphaela,Garvey,Michigan,Cholecap,15,16,14,7,17,9,1,53,51,27,30,58
180,Renata,Morecomb,Indiana,Cholecap,0,2,7,12,10,20,165,51,87,33,16,197
181,Fanya,Dyment,Virginia,Cholecap,2,0,19,6,18,3,97,43,103,77,74,159
182,Farand,Wigin,California,Cholecap,0,17,0,18,18,7,159,117,131,83,104,103
183,Kathy,Taunton,Florida,Cholecap,4,17,18,3,14,15,82,30,34,6,4,76
184,Dniren,Hadlow,Illinois,Cholecap,4,3,11,5,1,8,178,39,51,191,110,180
185,Nicolais,Grewer,California,Cholecap,10,9,7,16,15,6,106,179,21,144,46,50
186,Teresina,Baterip,California,Cholecap,10,4,20,17,4,4,131,17,9,87,83,35
187,Harriett,Fevers,Florida,Cholecap,3,9,1,14,5,4,121,99,102,39,119,72
188,Dom,Mandrey,Illinois,Cholecap,4,20,16,4,10,5,80,5,30,153,68,36
189,Odelinda,Mullally,Arizona,Cholecap,14,2,17,13,8,6,165,84,101,142,146,158
190,Morey,Kumar,Florida,Cholecap,19,1,16,17,14,17,114,148,172,115,171,130
191,Virgil,Bushill,California,Cholecap,4,14,17,3,4,13,184,72,80,57,150,158
192,Nona,Dempster,Florida,Cholecap,13,9,13,15,19,19,89,37,56,68,120,149
193,Linus,Portchmouth,Minnesota,Cholecap,19,20,12,10,7,13,149,2,195,45,121,145
194,Claudette,Kevis,Georgia,Cholecap,6,8,6,2,14,16,45,136,72,47,27,98
195,Christiane,Whelband,Idaho,Cholecap,9,14,19,13,9,11,155,174,146,185,114,77
196,Izzy,Batsford,Texas,Cholecap,4,19,3,12,11,13,66,105,23,28,119,110
197,Evelina,D'Hooge,Delaware,Cholecap,16,3,10,0,13,8,123,30,20,167,95,74
198,Mackenzie,Paumier,Minnesota,Cholecap,19,8,8,18,17,3,170,178,187,128,26,63
199,Jody,McGenis,Florida,Cholecap,13,1,19,9,5,10,91,65,142,139,161,55
200,Ginevra,Ivens,Florida,Cholecap,11,1,5,8,3,12,76,20,143,173,133,191
201,Leon,Guilford,Florida,Cholecap,10,13,13,15,19,3,128,22,37,181,37,181
202,Jody,Eadmeades,South Carolina,Cholecap,13,10,12,3,11,2,34,198,155,140,25,77
203,Janice,Frickey,Illinois,Cholecap,0,18,12,10,7,5,129,66,23,29,42,131
204,Malia,Baitey,California,Cholecap,6,3,4,20,6,7,11,35,63,188,128,164
205,Kenon,McCaig,District of Columbia,Cholecap,10,20,5,3,13,11,35,171,162,195,21,178
206,Adan,Awcock,Texas,Cholecap,0,20,2,4,15,16,7,120,88,11,70,199
207,Justine,Devo,Maryland,Cholecap,0,7,19,10,13,10,184,174,160,30,38,66
208,Pauly,Kesley,Virginia,Cholecap,8,0,9,4,16,7,32,12,52,92,116,198
209,Saba,Alway,New Jersey,Cholecap,5,7,19,17,11,12,45,158,102,81,90,124
210,Leisha,Liebmann,New York,Cholecap,3,9,7,3,18,7,32,51,0,189,75,116
211,Kale,Kear,California,Cholecap,6,16,1,5,5,13,175,67,54,191,93,1
212,Maje,Santos,North Carolina,Cholecap,4,7,18,18,7,10,53,153,115,118,98,177
213,Sandy,Frascone,Ohio,Cholecap,20,18,2,17,0,18,135,38,27,174,67,85
214,Maxi,Caren,New York,Cholecap,1,18,13,8,17,17,90,46,193,94,188,147
215,Alisun,Gillet,Texas,Cholecap,13,20,1,19,9,8,66,118,0,103,158,100
216,Sebastiano,Cutmere,Michigan,Cholecap,7,19,13,4,8,4,129,187,11,117,130,171
217,Rosetta,Cathery,Florida,Cholecap,15,0,20,11,15,10,42,159,34,109,30,60
218,Darya,Bertin,Arizona,Cholecap,6,8,4,14,4,13,40,32,35,72,136,120
219,Bruce,Tawse,Oregon,Cholecap,9,12,10,1,5,10,29,60,104,188,184,7
220,Ashia,Colenutt,California,Cholecap,20,16,10,15,16,2,181,2,166,55,101,162
221,Mattie,Nisby,Ohio,Cholecap,3,17,2,10,2,12,38,134,149,34,153,134
222,Belinda,Syers,Arkansas,Cholecap,19,13,2,2,16,9,185,76,114,138,140,143
223,Kiley,Lindholm,Rhode Island,Cholecap,19,8,2,9,7,0,155,167,39,122,25,125
224,Carroll,Testin,New York,Cholecap,11,4,11,20,18,5,35,176,126,191,61,73
225,Sukey,Simonard,Texas,Cholecap,10,19,7,7,1,13,124,49,107,111,102,67
226,Christi,Corck,Georgia,Cholecap,10,7,13,18,4,7,83,128,161,154,171,6
227,Blane,Rekes,Oklahoma,Cholecap,9,2,17,8,3,17,38,68,26,172,84,113
228,Benedikt,Magog,Washington,Cholecap,9,2,6,12,8,4,37,119,61,136,137,178
229,Conan,Digan,Colorado,Cholecap,12,1,10,2,19,0,195,10,166,101,68,150
230,Genia,Aisman,New York,Cholecap,8,10,5,20,20,20,76,14,10,31,133,98
231,Jania,Cresswell,Delaware,Cholecap,10,9,19,16,13,5,28,185,147,185,116,71
232,Danika,Duligall,Massachusetts,Cholecap,16,12,12,19,7,12,187,90,91,151,163,191
233,Simone,Ingham,California,Cholecap,7,20,11,5,0,0,101,141,78,52,85,195
234,Mia,Churching,Kansas,Cholecap,11,18,13,1,4,3,97,22,132,61,89,131
235,Wilfred,Kervin,Minnesota,Cholecap,19,2,8,6,13,10,66,165,150,55,94,182
236,Mallory,Coram,Ohio,Cholecap,9,8,14,5,19,16,167,36,125,19,68,46
237,Cyrus,Eltune,North Carolina,Cholecap,11,11,15,20,8,13,45,139,191,98,193,46
238,Saleem,Goodding,Indiana,Cholecap,17,9,18,8,6,6,98,154,55,168,106,42
239,Corliss,Golden of Ireland,Florida,Cholecap,8,7,17,17,11,13,121,110,187,16,85,97
240,Skipper,Lording,Illinois,Cholecap,9,8,2,12,2,20,119,75,58,34,33,167
241,Freida,Whiterod,District of Columbia,Cholecap,14,7,7,13,7,5,58,157,41,146,95,86
242,Alexi,Slowgrove,California,Cholecap,12,19,20,17,16,18,169,47,194,99,189,15
243,Nehemiah,Extil,Minnesota,Cholecap,14,6,17,16,18,11,46,98,76,39,3,30
244,Bridie,Antonchik,Pennsylvania,Cholecap,11,20,16,11,8,15,157,61,37,70,59,184
245,Morgen,Raiman,Massachusetts,Cholecap,6,2,11,1,20,17,146,121,178,167,200,140
246,Menard,Donaldson,North Carolina,Cholecap,15,6,4,3,1,9,31,5,81,142,91,17
247,Dael,MacVanamy,Nevada,Cholecap,18,6,15,2,15,16,93,191,88,0,124,134
248,Nobie,Swetland,North Carolina,Cholecap,15,17,18,11,3,3,192,18,49,39,86,88
249,Alonzo,Kyneton,California,Cholecap,14,12,2,20,11,20,123,143,54,28,87,137
250,Therese,Craddy,Louisiana,Cholecap,1,13,11,17,7,3,60,104,169,67,167,79
251,Abba,Pietruschka,Pennsylvania,Cholecap,12,17,5,19,0,17,104,92,106,70,3,0
252,Roseline,Gloy,California,Cholecap,7,1,19,1,4,14,69,120,114,185,103,65
253,Wally,Shipston,Ohio,Cholecap,5,20,5,5,1,10,50,70,44,197,26,63
254,Ugo,Kerwen,California,Cholecap,15,19,10,16,16,2,28,164,21,151,150,30
255,Myrtia,Lendon,Indiana,Cholecap,20,3,19,14,2,7,138,184,64,35,0,138
256,Shea,Abele,Virginia,Cholecap,0,10,13,13,16,9,144,31,59,43,128,195
257,Bartram,Stot,Florida,Cholecap,13,14,2,13,16,1,28,39,91,100,106,66
258,Ber,Durling,Utah,Cholecap,18,19,15,8,20,11,55,190,88,158,38,62
259,Fabe,Poge,Nevada,Cholecap,16,10,12,6,7,20,20,118,118,63,74,168
260,Karita,Lyven,New York,Cholecap,11,15,10,0,20,12,67,37,64,162,124,130
261,Kristoffer,Braganca,New York,Cholecap,8,0,4,2,13,3,148,14,70,129,118,140
262,Norine,Greenland,Texas,Cholecap,9,18,14,19,10,1,91,15,136,82,186,162
263,Walker,MacInherney,California,Cholecap,10,19,6,16,12,20,137,7,98,38,163,166
264,Karil,Grinyer,New York,Cholecap,8,0,8,18,17,11,133,123,173,79,136,190
265,Lyda,Kestian,Colorado,Cholecap,3,15,16,6,6,13,108,39,70,68,52,188
266,Web,Barkly,Texas,Cholecap,9,5,11,7,8,15,56,134,69,60,179,29
267,Delora,Heasman,Florida,Cholecap,12,10,9,16,16,18,98,95,181,85,131,187
268,Hilliard,Yurkiewicz,Maryland,Cholecap,10,0,17,13,13,5,62,84,67,70,161,78
269,Tillie,Callan,Virginia,Cholecap,17,19,0,4,6,17,154,188,190,49,186,114
270,Pat,Truelock,Texas,Cholecap,1,2,13,7,5,3,149,97,32,176,170,71
271,Hashim,Samsworth,Virginia,Cholecap,11,2,4,18,7,10,172,141,188,79,32,85
272,Sindee,Egan,Pennsylvania,Cholecap,19,4,20,16,13,0,80,162,154,33,54,9
273,Lotty,Callen,Florida,Cholecap,3,17,4,2,20,15,122,7,155,158,74,17
274,Prentiss,Premble,Missouri,Cholecap,3,18,13,20,12,6,74,42,92,179,160,119
275,Herman,Stonner,Pennsylvania,Cholecap,7,6,13,18,2,3,2,96,6,44,1,122
276,Burnaby,Mennithorp,Mississippi,Cholecap,4,0,8,8,4,17,34,77,147,141,193,76
277,Sosanna,Ginty,Pennsylvania,Cholecap,4,3,13,8,18,19,104,21,74,34,182,0
278,Missy,Kiefer,District of Columbia,Cholecap,9,2,14,6,0,5,103,125,90,112,143,169
279,Rosina,Jesper,Ohio,Cholecap,15,15,0,13,3,17,38,52,49,38,115,174
280,Bartholemy,Wesley,Massachusetts,Cholecap,19,19,13,10,6,5,10,5,149,44,182,98
281,Conny,Rydings,New York,Cholecap,11,11,6,0,19,11,172,197,140,159,111,139
282,Becka,Gilpin,South Carolina,Cholecap,20,0,16,6,19,20,27,53,110,84,1,150
283,Georgeanne,Thirlaway,Kentucky,Cholecap,8,9,18,13,9,17,199,14,97,38,55,99
284,Alwyn,MacCawley,Colorado,Cholecap,2,8,13,16,20,17,166,111,120,159,121,130
285,Martin,Peret,District of Columbia,Cholecap,4,11,11,0,0,11,78,45,76,78,66,20
286,Colette,March,Missouri,Cholecap,11,18,8,17,2,6,100,16,2,58,149,130
287,Molli,Kytley,Florida,Cholecap,8,2,1,13,11,5,100,136,109,118,82,40
288,Estrella,Roden,Utah,Cholecap,2,4,6,9,15,4,54,93,187,58,11,181
289,Antonia,Dickin,Alabama,Cholecap,16,16,17,1,11,8,22,135,53,33,20,88
290,Tessie,Vasiltsov,Wisconsin,Cholecap,17,16,8,17,2,12,54,76,87,66,63,49
291,Mycah,Ashburner,Wisconsin,Cholecap,20,13,5,7,2,3,176,152,69,54,137,179
292,Levin,Maclaine,California,Cholecap,1,10,11,19,17,10,184,191,3,73,106,197
